pr_number,issue_number,commit_date,author,title,body,closer,files
7344,7344,2024-03-09T09:11:41Z,rex4539,fix: fix crate vulnerabilities,"https://rustsec.org/advisories/RUSTSEC-2024-0003
https://rustsec.org/advisories/RUSTSEC-2024-0019
https://rustsec.org/advisories/RUSTSEC-2024-0006
https://rustsec.org/advisories/RUSTSEC-2023-0080
https://rustsec.org/advisories/RUSTSEC-2024-0020
https://rustsec.org/advisories/RUSTSEC-2023-0074",rustdesk,"Cargo.lock, Cargo.toml"
7340,7340,2024-03-08T08:48:52Z,21pages,improve waiting for image when only one image received ,"1. fix padding of mobile server page PopupMenuItem
2. improve waiting for image when only one image received
* For flutter texture late creation: create texture between session add and session start, it works not in principle but in test.
* For late PeerInfo handling
	a. rgba texture render: allow zero size in on_rgba
	b. gpu texture render and rgba buffer render doesn't check size currently
* Fix wrong valid flag of first frame in rgba buffer render

Other issues:
- [ ] decodeImageFromPixels may fail on first image
- [ ] Correct width/height when resolution changes

Test: video service send only one frame

https://github.com/rustdesk/rustdesk/assets/14891774/42a37c07-3853-4ea3-8dab-4249b47f2524

![41a89e135b9cf6d9fce9d758c883ddf](https://github.com/rustdesk/rustdesk/assets/14891774/8ea3ce6d-9c5c-42f5-86ef-89ea94f5a291)



",,"flutter/lib/mobile/pages/server_page.dart, flutter/lib/models/desktop_render_texture.dart, flutter/lib/models/model.dart, src/flutter.rs"
7329,7329,2024-03-06T21:12:37Z,BestiaPL,Update pl.rs,Updated Polish translation.,,src/lang/pl.rs
7326,7326,2024-03-06T09:29:03Z,xlionjuan,#7315 Fix lang detection for zh-TW,"I use the sample code from [sys-locale](https://github.com/1Password/sys-locale).

````rust
use sys_locale::get_locale;

let locale = get_locale().unwrap_or_else(|| String::from(""en-US""));

println!(""The current locale is {}"", locale);
````

It print this on my system:
```plaintext
The current locale is zh-TW
```",rustdesk,src/lang.rs
7319,7319,2024-03-05T02:40:57Z,fufesou,"Fix. Input, macos, workaround fn","Workaround sticky fn.

https://github.com/rustdesk/rustdesk/issues/5707

https://github.com/rustdesk/rustdesk/issues/7308

https://github.com/rustdesk/rustdesk/issues/6060

We already have a workaround here https://github.com/fufesou/rdev/blob/b3434caee84c92412b45a2f655a15ac5dad33488/src/macos/simulate.rs#L32

But this issue appears when RustDesk is installed, so we need to change the `CGEventSourceStateID`. https://developer.apple.com/documentation/coregraphics/cgeventsourcestateid

Related : https://stackoverflow.com/questions/74938870/sticky-fn-after-home-is-simulated-programmatically-macos/77002057
",,src/server/input_service.rs
7317,7317,2024-03-04T16:23:01Z,jxdv,update sk.rs,"- typo
- some translation bits",,src/lang/sk.rs
7316,7316,2024-03-04T13:37:58Z,21pages,flutter windows main.cpp get app name from rust,"FindWindow is used for singleton and now core_main.rs doesn't handle url parameters, this pr only get the app name from rust.
If the app name is ""RustDesk"",  it works; not works yet if it's not ""RustDesk"".",,"flutter/windows/runner/main.cpp, src/flutter.rs, src/platform/windows.rs"
7312,7312,2024-03-04T00:29:31Z,21pages,"fix windows ci, downgrade flutter-action","https://github.com/subosito/flutter-action/issues/277

https://github.com/21pages/rustdesk/actions/runs/8133977459/job/22226242232",,".github/workflows/flutter-build.yml, .github/workflows/history.yml"
7309,7309,2024-03-03T10:31:59Z,mehdi-song,Update fa.rs,";-)
For all those who live in the world",,src/lang/fa.rs
7307,7307,2024-03-03T09:03:29Z,21pages,upgrade uni link desktop,"1.  https://github.com/leanflutter/uni_links_desktop/issues/15 

Version 0.1.7 doesn't have multi-window problems, tested with: 
https://github.com/21pages/rustdesk/releases/download/1.2.3-1/rustdesk-1.2.3-1-x86_64-uri_link_desktop-0.1.6.dmg
https://github.com/21pages/rustdesk/releases/download/nightly/rustdesk-1.2.4-x86_64-uni_links_desktop-0.1.7.dmg

2. ID input TextField supports ""Enter"" key connection, and the text content of the TextFiled will be used as ID, the drop-down items will not be used.",,"flutter/lib/desktop/pages/connection_page.dart, flutter/pubspec.lock, flutter/pubspec.yaml"
7288,7288,2024-02-28T22:32:10Z,xalt7x,Update Ukrainian UI translation,,,src/lang/ua.rs
7287,7287,2024-02-28T14:46:47Z,xlionjuan,Update tw.rs,,,src/lang/tw.rs
7282,7282,2024-02-28T03:55:56Z,21pages,"port forward, wait until TestDelay is replied","The reason why the rdp connection failed before was that when connecting with a password, the control end first received the TestDelay, send TestDelay back and then immediately received the LoginResponse. At the same time, the controlled end had ended the `on_message` loop and TestDelay was sent to the RDP server.

Now port forward will wait until TestDelay is replied, and will not send TestDelay when port forward is authorized.

Tested rdp/tcp tunneling with/without password.",,src/server/connection.rs
7275,7275,2024-02-27T15:51:13Z,flusheDData,new terms,New terms added ,,src/lang/es.rs
7274,7274,2024-02-27T15:04:44Z,21pages,"fix rdp not work, caused by test_delay_timer","https://github.com/rustdesk/rustdesk/pull/7189#issuecomment-1962854211
windows rdp not work after commit https://github.com/rustdesk/rustdesk/commit/f47faa548bdb1bc4839a19bb628ac0755f5c8141

`let mut test_delay_timer = crate::rustdesk_interval(time::interval(TEST_DELAY_TIMEOUT));`: will send `TestDelay`, 
`let mut test_delay_timer = time::interval_at(Instant::now() + TEST_DELAY_TIMEOUT, TEST_DELAY_TIMEOUT);` will not in test,
have not dig the reason, maybe `TestDelay` is sent to the rdp client and affects rdp handshake.

",,src/server/connection.rs
7272,7272,2024-02-27T09:25:06Z,fufesou,"Refact. Qs, do not check qs on startup(flutter).","To avoid confusion.

Revert to `initEnv` check on flutter and do not check qs on flutter.

Process will not exit if early return on the flutter side.

core_main.rs has checked qs already.",,"flutter/lib/main.dart, flutter/lib/models/native_model.dart"
7271,7271,2024-02-27T07:37:06Z,21pages,update runas to 1.2.0," https://github.com/mitsuhiko/rust-runas/issues/13#issuecomment-1964718993

Tested windows install",,"Cargo.lock, Cargo.toml, src/platform/windows.rs"
7269,7269,2024-02-27T06:31:16Z,21pages,enable retina scale factor,"https://github.com/rustdesk/rustdesk/pull/6980 https://github.com/rustdesk/rustdesk/issues/5246
* Enabled only when there are only one video service
* Scale mouse event, remote cursor position, remote menu display button, and adjust resolution menu

https://github.com/rustdesk/rustdesk/assets/14891774/1f20430b-0262-439b-b644-85243347dc14

multi window:

https://github.com/rustdesk/rustdesk/assets/14891774/af5b8c14-19bc-49dc-9628-5b614e1a2e56


Old version control mac retina screen
![rustdesk_JrsBXWCcIA](https://github.com/rustdesk/rustdesk/assets/14891774/eb554a8d-bacb-41db-82f1-636950a1abf7)
",21pages,"flutter/lib/desktop/widgets/remote_toolbar.dart, flutter/lib/models/model.dart, libs/hbb_common/protos/message.proto, libs/scrap/src/common/quartz.rs, libs/scrap/src/quartz/display.rs, libs/scrap/src/quartz/mod.rs, src/flutter.rs, src/server.rs, src/server/connection.rs, src/server/display_service.rs, src/server/service.rs"
7267,7267,2024-02-26T17:00:58Z,fufesou,"Feat. Quick support, ui","1. Quick support ui.
2. Disable ""invoke_new_connection"".





https://github.com/rustdesk/rustdesk/assets/13586388/907a6d5b-b245-4761-b093-248ebe575373





TODO:
- [ ] Do not show resize cursor when hovering the window edges.",,"flutter/lib/common.dart, flutter/lib/desktop/pages/connection_page.dart, flutter/lib/desktop/pages/desktop_home_page.dart, flutter/lib/desktop/pages/desktop_setting_page.dart, flutter/lib/desktop/pages/desktop_tab_page.dart, flutter/lib/desktop/widgets/tabbar_widget.dart, flutter/lib/main.dart, flutter/lib/models/native_model.dart, src/core_main.rs, src/flutter_ffi.rs, src/lang/bg.rs"
7266,7266,2024-02-26T05:29:47Z,21pages,fix is_physical_console_session,,,src/platform/windows.rs
7265,7265,2024-02-26T02:18:09Z,fufesou,"Refact. ci, third party, upload artifact",No need to upload and download artifacts of third party if do not publish. ,,".github/workflows/flutter-build.yml, .github/workflows/third-party-RustDeskTempTopMostWindow.yml"
7264,7264,2024-02-25T18:15:35Z,fufesou,"Refact. build.py, skip portable packing","ci and `build.py` both do the packing.

Skip packing in `build.py` by adding an argument `--skip-portable-pack`.

Only Windows-x64 is affected.
",,".github/workflows/flutter-build.yml, build.py"
7263,7263,2024-02-25T18:12:11Z,fufesou,Refact/ci remove third party topmost window,"Remove the deps of the third-party prebuilt file (topmost window).

Build by github ci instead.
",,".github/workflows/flutter-build.yml, .github/workflows/third-party-RustDeskTempTopMostWindow.yml, build.py"
7259,7259,2024-02-25T13:22:13Z,21pages,fix calling getWindowName before bind init,,,flutter/lib/main.dart
7258,7258,2024-02-25T12:50:16Z,21pages,fix rdp session ctrl+alt+delete,"https://github.com/rustdesk/rustdesk/pull/7189#issuecomment-1962854211

https://github.com/rustdesk/rustdesk/assets/14891774/ef08d2a2-d765-48cc-a05b-199130be8e4e

",,"src/ipc.rs, src/platform/windows.rs, src/server/input_service.rs"
7257,7257,2024-02-25T12:05:53Z,21pages,remove is_rdp_service_open judgement for option share rdp,"1. Share rdp is enabled after every reinstallation.
2. Tested options changing.
3. Tested strategy",,"flutter/lib/desktop/pages/desktop_setting_page.dart, src/flutter_ffi.rs, src/hbbs_http/sync.rs, src/ui.rs, src/ui/index.tis, src/ui_interface.rs"
7251,7251,2024-02-24T14:51:19Z,fufesou,"Test. Interval, better comparison",,,src/common.rs
7249,7249,2024-02-24T13:16:14Z,fufesou,test RustDeskInterval with interval_at,,,src/common.rs
7248,7248,2024-02-23T16:07:09Z,FastAct,Update nl.rs,,,src/lang/nl.rs
7247,7247,2024-02-23T14:28:12Z,fufesou,"Fix. Multi sub windows, sync peer options","1. Fix https://github.com/rustdesk/rustdesk/pull/5945#issuecomment-1957640373
2. Refactor `push_event` to make it more flexible.

https://github.com/rustdesk/rustdesk/assets/13586388/9d2f6b3c-a0ff-457b-9eea-4584d8d1b42b

",,"flutter/lib/common/widgets/setting_widgets.dart, flutter/lib/common/widgets/toolbar.dart, flutter/lib/consts.dart, flutter/lib/desktop/widgets/remote_toolbar.dart, flutter/lib/models/model.dart, src/flutter.rs, src/flutter_ffi.rs"
7244,7244,2024-02-23T10:09:45Z,wxpppp,Add loongarch64 support,,,libs/scrap/build.rs
7240,7240,2024-02-23T05:27:11Z,21pages,fix hardware codec memory leak,"When dropping codec, drop c_void is called instead of free or delete",,Cargo.lock
7235,7235,2024-02-22T14:15:42Z,bilago,Added trace logging to clipboard methods,,,"src/common.rs, src/server/clipboard_service.rs"
7234,7234,2024-02-22T14:12:22Z,jxdv,update cs.rs,,,src/lang/cs.rs
7233,7233,2024-02-22T14:10:33Z,jxdv,update sk.rs,,,src/lang/sk.rs
7232,7232,2024-02-22T13:12:31Z,solokot,Update ru.rs,,,src/lang/ru.rs
7226,7226,2024-02-22T05:20:35Z,fufesou,Fix. Text clipboard is not working correctly,"https://github.com/rustdesk/rustdesk/issues/6859

### Bug

If there're multiple connections, and one connection is going to end.

We need to check if clipboard checking loop should be stoped.

The previous check is wrong. So the checking loop is early exited.

### Fixed

Change

```rust
    pub fn other_sessions_running(peer_id: String, conn_type: ConnType) -> bool {
        SESSIONS
            .read()
            .unwrap()
            .get(&(peer_id, conn_type))
            .map(|s| s.session_handlers.read().unwrap().len() != 0)
            .unwrap_or(false)
}
```

to

```rust
    pub fn has_sessions_running(conn_type: ConnType) -> bool {
        SESSIONS.read().unwrap().iter().any(|((_, r#type), s)| {
            *r#type == conn_type && s.session_handlers.read().unwrap().len() != 0
        })
    }
```

",,"src/client.rs, src/client/io_loop.rs, src/flutter.rs"
7225,7225,2024-02-21T21:50:47Z,Mr-Update,Update de.rs,,,src/lang/de.rs
7217,7217,2024-02-21T11:40:10Z,fufesou,Fix/arboard clipboard context timeout,"This PR may fix https://github.com/rustdesk/rustdesk/issues/6859 on Linux platform.

### Issue

`arboard` uses a fixed duration(10ms) as the timeout for x11 connection. 


https://github.com/1Password/arboard/blob/77e0e078eb460ac2fa0eda96124163c11ef6b2d1/src/platform/linux/x11.rs#L142


But for RustDesk, sometimes it needs about 20ms or more to connect x11.

So the text clipboard is not stable.

And if the following line fails, the ""copy & paste"" from client to host will not work anymore in that connection.

https://github.com/rustdesk/rustdesk/blob/7b317619acdf26853e05c5e398f5bdc19fee776c/src/client.rs#L726 


### Fixed 

In this PR, retry and increasing timeout are added for `new()` and `get_text()`.

```rust
        for i in 1..4 {
            arboard::Clipboard::set_x11_server_conn_timeout(dur * i);
            match arboard::Clipboard::new() {
                Ok(c) => return Ok(ClipboardContext(c)),
                Err(arboard::Error::X11ServerConnTimeout) => continue,
                Err(err) => return Err(err.into()),
            }
        }
        bail!(""Failed to create clipboard context, timeout"");
```

PR for `arboard` is also submitted.
",,"Cargo.lock, Cargo.toml, src/client.rs, src/client/io_loop.rs, src/common.rs, src/server/clipboard_service.rs"
7215,7215,2024-02-20T15:35:51Z,fufesou,Fix. Text Copy&Paste on Linux is unstable,"This PR may fix https://github.com/rustdesk/rustdesk/issues/6859 on Linux platform.

### Issue

`arboard` uses a fixed duration(10ms) as the timeout for x11 connection. 


https://github.com/1Password/arboard/blob/77e0e078eb460ac2fa0eda96124163c11ef6b2d1/src/platform/linux/x11.rs#L142


But for RustDesk, sometimes it needs about 20ms or more to connect x11.

So the text clipboard is not stable.

And if the following line fails, the ""copy & paste"" from client to host will not work anymore in that connection.

https://github.com/rustdesk/rustdesk/blob/7b317619acdf26853e05c5e398f5bdc19fee776c/src/client.rs#L726 


### Fixed 

In this PR, retry and increasing timeout are added for `new()` and `get_text()`.

```rust
        for i in 1..4 {
            arboard::Clipboard::set_x11_server_conn_timeout(dur * i);
            match arboard::Clipboard::new() {
                Ok(c) => return Ok(ClipboardContext(c)),
                Err(arboard::Error::X11ServerConnTimeout) => continue,
                Err(err) => return Err(err.into()),
            }
        }
        bail!(""Failed to create clipboard context, timeout"");
```

PR for `arboard` is also submitted.
",fufesou,"Cargo.lock, Cargo.toml, src/client.rs, src/client/io_loop.rs, src/common.rs, src/server/clipboard_service.rs"
7211,7211,2024-02-20T14:04:46Z,bovirus,Italian language update,"@rustdesk 

Please merge. Thanks.",,src/lang/it.rs
7210,7210,2024-02-20T12:50:05Z,Kleofass,Update lv.rs,,,src/lang/lv.rs
7209,7209,2024-02-20T12:47:47Z,21pages,fix windows ci wrong sign directory since update to flutter 3.16.9,https://github.com/rustdesk/rustdesk/discussions/7147,,.github/workflows/flutter-build.yml
7208,7208,2024-02-20T10:09:53Z,grummbeer,Enlarge window title bar,"Enlarged title bar is in good company, looks modern and - most important - the tabs are much easier to hit.



![titlebar-enlarged](https://github.com/rustdesk/rustdesk/assets/67791701/617a9747-f781-4ff5-a0e6-60d944a2831c)
",grummbeer,"flutter/lib/consts.dart, flutter/lib/desktop/widgets/tabbar_widget.dart"
7206,7206,2024-02-20T09:44:11Z,grummbeer,Automate year of copyright,"No more ""(chore) update copyright year""",rustdesk,"flutter/lib/desktop/pages/desktop_setting_page.dart, src/ui/index.tis"
7205,7205,2024-02-20T09:25:09Z,NicKoehler,Update italian readme ,,,docs/README-IT.md
7198,7198,2024-02-19T16:38:58Z,fufesou,Fix. Remove unused idd feature in ci.,,,".github/workflows/flutter-build.yml, .github/workflows/history.yml"
7197,7197,2024-02-19T16:34:58Z,fufesou,Refact. get_version_number support '- patch version',"```rust
    #[test]
    fn test_get_version_number() {
        assert_eq!(get_version_number(""1.1.10""), 1001100);
        assert_eq!(get_version_number(""1.1.10-1""), 1001101);
        assert_eq!(get_version_number(""1.1.11-1""), 1001111);
        assert_eq!(get_version_number(""1.2.3""), 1002030);
    }
```",,libs/hbb_common/src/lib.rs
7194,7194,2024-02-19T15:14:54Z,fufesou,update tao and tray-icon,,,".github/workflows/flutter-build.yml, Cargo.lock, Cargo.toml, src/tray.rs"
7193,7193,2024-02-19T15:05:07Z,fufesou,Fix/remove idd,,,".github/workflows/flutter-build.yml, .github/workflows/flutter-tag.yml, .github/workflows/history.yml, Cargo.lock, Cargo.toml, appimage/AppImageBuilder-aarch64.yml, appimage/AppImageBuilder-x86_64.yml, build.py, flatpak/rustdesk.json, flutter/lib/desktop/pages/install_page.dart, res/PKGBUILD, res/rpm-flutter-suse.spec, res/rpm-flutter.spec, res/rpm.spec, src/core_main.rs, src/lang/en.rs, src/lang/template.rs"
7192,7192,2024-02-19T14:30:44Z,fufesou,Fix. Remove idd,,,".github/workflows/flutter-build.yml, .github/workflows/flutter-tag.yml, .github/workflows/history.yml, Cargo.lock, Cargo.toml, appimage/AppImageBuilder-aarch64.yml, appimage/AppImageBuilder-x86_64.yml, build.py, flatpak/rustdesk.json, flutter/lib/desktop/pages/install_page.dart, res/PKGBUILD, res/rpm-flutter-suse.spec, res/rpm-flutter.spec, res/rpm.spec, src/core_main.rs, src/lang/en.rs, src/lang/template.rs"
7189,7189,2024-02-19T09:00:21Z,21pages,"windows specific session, fix sciter empty file directory or wrong home","#7184

Login request use the remote dir of last user name
https://github.com/rustdesk/rustdesk/blob/58ddac63d267d747ff7f3c591dea6934f9d78799/src/client.rs#L1900

flutter version will read remote directory after receiving peer info, sciter won't.
https://github.com/rustdesk/rustdesk/blob/58ddac63d267d747ff7f3c591dea6934f9d78799/flutter/lib/models/model.dart#L705

When no-admin session request admin directory, it's empty

https://github.com/rustdesk/rustdesk/assets/14891774/d9044096-c1df-4d58-9de6-b326acb8cf7b

When admin session request non-admin directory, it's wrong home:

https://github.com/rustdesk/rustdesk/assets/14891774/3a32432a-42fd-46cc-86d5-d0c88742392a

Fixed:

https://github.com/rustdesk/rustdesk/assets/14891774/f0946287-fe98-4c33-97fd-c5bb60b28833

",rustdesk,"src/server/connection.rs, src/ui_session_interface.rs"
7188,7188,2024-02-19T05:04:25Z,21pages,judge failure of get_current_process_session_id with None rather than 0,,,src/server/connection.rs
7187,7187,2024-02-19T03:04:50Z,21pages,"add space after "":""","![rustdesk_pSOKkg3fDf](https://github.com/rustdesk/rustdesk/assets/14891774/c5e3656c-4b3e-4004-b783-3c4f722c4ef1)
",,src/platform/windows.rs
7184,7184,2024-02-19T01:37:28Z,21pages,"refactor windows specific session, file transfer and waiting for image","#7170
1. File transfer doesn't show directory until correct session id is ensured
2. Fix file transfer, caused by `pi.username = self.lc.read().unwrap().get_username(&pi);` in `handle_peer_info` override empty username and `get_active_username` doesn't return currect session username
* Fix home directory not change when session changed, or wrong home directory  (TODO: Not fix this through flutter, but sciter version still have problems, wrong home directory or empty remote directory)
* Fix show empty remote directory rather than error messagbox when current session is in login screen
3. Show `Connected, waiting for image` after user choose the same session id

File transfer delay show directory and correct home directory

https://github.com/rustdesk/rustdesk/assets/14891774/baacacc5-e9fa-49a3-a83b-02192bf4c063

File transfer console in login screen

https://github.com/rustdesk/rustdesk/assets/14891774/0fb1f398-bf54-4a63-bd5f-a056beba6aeb

Remote waiting for image

https://github.com/rustdesk/rustdesk/assets/14891774/3f96f494-9327-4c28-908e-49bc69b7857c

",khoinp1012,"flutter/lib/models/model.dart, src/client.rs, src/flutter.rs, src/lang/ar.rs, src/lang/bg.rs, src/lang/ca.rs, src/lang/cn.rs, src/lang/cs.rs, src/lang/da.rs, src/lang/de.rs, src/lang/el.rs, src/lang/eo.rs, src/lang/es.rs, src/lang/et.rs, src/lang/fa.rs, src/lang/fr.rs, src/lang/hu.rs, src/lang/id.rs, src/lang/it.rs, src/lang/ja.rs, src/lang/ko.rs, src/lang/kz.rs, src/lang/lt.rs, src/lang/lv.rs, src/lang/nb.rs, src/lang/nl.rs, src/lang/pl.rs, src/lang/pt_PT.rs, src/lang/ptbr.rs, src/lang/ro.rs"
7181,7181,2024-02-18T21:11:41Z,schwartz2000,ONREMPLACE,Une fois de bon,grummbeer,
7174,7174,2024-02-18T13:41:33Z,fufesou,Refact. Better `ThrottledInterval`,"`cx.waker().wake_by_ref();` is added, then there's need to use `loop` until `min_interval` meets.",,src/common.rs
7173,7173,2024-02-18T12:41:33Z,fufesou,Refact. Replace all `tokio::time::interval()`,"Replace all `tokio::time::interval()` with `ThrottledInterval` which checks `min_interval` when `tick()`.
",fufesou,"src/client/io_loop.rs, src/common.rs, src/hbbs_http/sync.rs, src/license.rs, src/rendezvous_mediator.rs, src/server/connection.rs, src/server/portable_service.rs, src/tray.rs, src/ui_interface.rs"
7170,7170,2024-02-18T03:22:11Z,21pages,refactor windows specific session,"https://github.com/rustdesk/rustdesk/pull/6825
1. Modify the process to have the control side lead the session switching: After the control side sends a `LoginRequest`, the controlled side will add all session information and the current session ID in the `LoginResponse`. Upon receiving the `LoginResponse`, the control side will check if the current session ID matches the ID in the `LoginConfigHandler`. If they match, the control side will send the current session ID. If they don't match, a session selection dialog will pop up, the selected session id will be sent. Upon receiving this message, the controlled side will restart if different or sub service if same .
2. Always show physical console session on the top
3. Show running session and distinguish sessions with the same name
4. Not sub remote services or call `read_dir` until correct session id is ensured
5. Fix switch sides not work for multisession pc
6. Remove all session string join/split except get_available_sessions in windows.rs, account name can use '-'
7. Fix prelogin, when share rdp is enabled and there is a rdp session, the console is in login screen, get_active_username will be the rdp's username and prelogin will be false, cm can't be created and that causes disconnection in a loop
8. Rename all user session variable to windows session
9. Session select dropdown uses the same widget as in setting page.
10. Fix file transfer, caused by `pi.username = self.lc.read().unwrap().get_username(&pi);` overide empty username and `get_active_username` doesn't return current session username
* Fix home directory not change when session changed, or wrong home directory
* Fix show empty remote directory rather than error messagbox when current session is in login screen,  

Known issue:
1. Use current process session id for `run_as_user`, sahil says it can be wrong but I didn't reproduce.
2. Have not change tray process to current session

![90dd5859c32ad5c3f61156c20aa6ea1](https://github.com/rustdesk/rustdesk/assets/14891774/dc36acde-6af9-4e05-9403-bcd317380e6c)


Flutter version connect to windows server 2019 with 2 rdp session and console session logged out

https://github.com/rustdesk/rustdesk/assets/14891774/0261d759-eff6-4436-89e8-e5b610a0a2b4

Sciter version connect to windows 10 with 1 rdp session and console session logged out

https://github.com/rustdesk/rustdesk/assets/14891774/6daef9b6-1b97-45d4-b439-5db3122ab825

",,"flutter/lib/common.dart, flutter/lib/common/widgets/dialog.dart, flutter/lib/desktop/pages/desktop_setting_page.dart, flutter/lib/models/model.dart, libs/hbb_common/protos/message.proto, src/client.rs, src/client/io_loop.rs, src/flutter.rs, src/flutter_ffi.rs, src/platform/windows.cc, src/platform/windows.rs, src/server/connection.rs, src/server/video_service.rs, src/ui/common.tis, src/ui/header.tis, src/ui/msgbox.tis, src/ui/remote.rs, src/ui_session_interface.rs"
7163,7163,2024-02-17T09:26:08Z,FastAct,Update nl.rs,,,src/lang/nl.rs
7162,7162,2024-02-17T08:01:11Z,fufesou,Fix. Potential dead lock,"
## Bug

Potential block forever.

Maybe the same to https://github.com/rustdesk/rustdesk/discussions/7115 .

### Example

Online status, Windows

![image](https://github.com/rustdesk/rustdesk/assets/13586388/f4a55b7b-bbfa-43a9-8762-34057b10081c)


1. Query https://github.com/rustdesk/rustdesk/blob/39d41486d6774e825001adabd34ddad9e33cd76c/src/ui_interface.rs#L1114
2. Response https://github.com/rustdesk/rustdesk/blob/39d41486d6774e825001adabd34ddad9e33cd76c/src/ipc.rs#L355
3. Handle Response https://github.com/rustdesk/rustdesk/blob/39d41486d6774e825001adabd34ddad9e33cd76c/src/ui_interface.rs#L1090

When exiting sleep, [`timer.tick()`](https://github.com/rustdesk/rustdesk/blob/d7dcb5feab270d06d24fea42c1bdb1e6b597df9b/src/ui_interface.rs#L1114) will be triggered multiple times, causing events to be sent multiple times.

[Handling Response](https://github.com/rustdesk/rustdesk/blob/39d41486d6774e825001adabd34ddad9e33cd76c/src/ui_interface.rs#L1090
)  and  [Querying](https://github.com/rustdesk/rustdesk/blob/39d41486d6774e825001adabd34ddad9e33cd76c/src/ui_interface.rs#L1114) are in the same `tokio::select!`, so the [Handling Response](https://github.com/rustdesk/rustdesk/blob/39d41486d6774e825001adabd34ddad9e33cd76c/src/ui_interface.rs#L1090
) branch is rarely reached in a short time when exiting sleep.

Since [Handling Response](https://github.com/rustdesk/rustdesk/blob/39d41486d6774e825001adabd34ddad9e33cd76c/src/ui_interface.rs#L1090
) is rarely called,
There is too much data in the named pipe and [Responsing](https://github.com/rustdesk/rustdesk/blob/39d41486d6774e825001adabd34ddad9e33cd76c/src/ipc.rs#L355) will  will be blocked.

Since [Responsing](https://github.com/rustdesk/rustdesk/blob/39d41486d6774e825001adabd34ddad9e33cd76c/src/ipc.rs#L355)  is blocked, [Querying](https://github.com/rustdesk/rustdesk/blob/39d41486d6774e825001adabd34ddad9e33cd76c/src/ui_interface.rs#L1114) is also blocked if there is too much data in the named pipe.

Since [Querying](https://github.com/rustdesk/rustdesk/blob/39d41486d6774e825001adabd34ddad9e33cd76c/src/ui_interface.rs#L1114) is blocked, [Handling Response](https://github.com/rustdesk/rustdesk/blob/39d41486d6774e825001adabd34ddad9e33cd76c/src/ui_interface.rs#L1090
)  will never execute.

Then the named pipe will block forever after there is a lot of data in it.

### How to reproduce

1. Start the Client
2. Disconnect from the server. Then the online status will be ""Not ready. Please check your connection""
3. Sleep your PC
4. Exit sleep after about 20 minutes
5. The online status will be ""Not ready. Please check your connection"" forever even the network to the server is ok.

### Reason

https://docs.rs/tokio/latest/tokio/time/struct.Interval.html#method.tick

This method will execute multiple times immediately after blocking some time.

#### example

```rust
use tokio::{
    self,
    time::{interval, sleep, Duration},
};
use chrono::{Local,format::StrftimeItems};

#[tokio::main]
async fn main() {
    let mut timer = interval(Duration::from_secs(1));
    sleep(Duration::from_secs(5)).await;
    let mut c = 0;
    loop {
        tokio::select! {
            _ = timer.tick() => {
                let format = StrftimeItems::new(""%Y-%m-%d %H:%M:%S"");
                println!(""{}: timer tick"", Local::now().format_with_items(format));
                c += 1;
                if c == 8 {
                    break;
                }
            }
        }
    }
}
```

```output
2024-02-17 11:03:12: timer tick
2024-02-17 11:03:12: timer tick
2024-02-17 11:03:12: timer tick
2024-02-17 11:03:12: timer tick
2024-02-17 11:03:12: timer tick
2024-02-17 11:03:12: timer tick
2024-02-17 11:03:13: timer tick
2024-02-17 11:03:14: timer tick
```

## TODO
Check if there are some other places that have the same potential issue.",rustdesk,src/ui_interface.rs
7161,7161,2024-02-16T22:23:37Z,kristian,Fix build on Windows,"`winapi::um::shellapi` is used in https://github.com/rustdesk/rustdesk/blob/master/src/platform/windows.rs but not declared in `Cargo.toml` resulting in a compilation error, when I tried building on Windows, this change adds shellapi as a dependency.",,Cargo.toml
7156,7156,2024-02-16T07:13:19Z,21pages,fix windows ci,,,src/tray.rs
7153,7153,2024-02-16T00:10:45Z,Kleofass,Update lv.rs,,,src/lang/lv.rs
7152,7152,2024-02-15T21:15:19Z,Mr-Update,Update de.rs,,,src/lang/de.rs
7151,7151,2024-02-15T16:44:57Z,jxdv,update cs.rs,,,src/lang/cs.rs
7150,7150,2024-02-15T16:41:33Z,jxdv,update sk.rs,,,src/lang/sk.rs
7141,7141,2024-02-15T12:03:20Z,21pages,"windows specific session, not show remote screen until correct session id is ensured","#6825 
1.  The controlled side doesn't know the selected session id  util the control side choose it, in order to show black screen when switching session id:
* For Windows multi-active sessions, the subscription to the remote service will be delayed until the control side selects the session id, so I use a ""INVALID"" session id to show the control side can respond to the `RdpUserSessions` message
* For others, subscribe directly 
2. Fix switch sides not work for reconnect, which would cause using the old uuid to send `SwitchSidesResponse` rather than `LoginRequest` for reconnection, and makes switching side to multi-session Windows not work.

notice:
If connect to a minisized rdp session window, it'll always be ""Connected, waiting for image"" until the window is restored.

https://github.com/rustdesk/rustdesk/assets/14891774/f388d6a4-fa3b-417e-9b11-fd073013abed

",,"src/client.rs, src/server/connection.rs"
7140,7140,2024-02-15T08:43:37Z,nevaran,Update lang.rs,added bg into the list,,src/lang.rs
7139,7139,2024-02-15T08:36:34Z,fufesou,Fix. Set peers offline when the server is unreachable.,"When the server is unreachable, all peers should be offline.

<img width=""595"" alt=""Untitled"" src=""https://github.com/rustdesk/rustdesk/assets/13586388/1fbf0b3d-75fb-457d-935c-1d7b1347f641"">
",,src/rendezvous_mediator.rs
